ID;ZONAL_ID;ZONAL_CODE;ZONAL_NAME;LOCALIDAD_ID;LOCALIDAD_CODE;LOCALIDAD_NAME;SITIO_ID;SITIO_CODE;SITIO_NAME;ELEMENTO_ID;ELEMENTO_SERIAL;Created;ELEMENTO_NAME;TIPOELEMENTO_ID;TIPOELEMENTO_NAME;MARCA_ID;MARCA_NAME;MODELO_ID;MODELO_NAME;FLAG_ACTIVO;FECHA_INGRESO;FECHA_BAJA;LATITUD;LONGITUD;REGION;PROVINCIA;COMUNA;ELEMENTO_RED_COR;EQUIPO;Updated;CANT_RESIDENCIAL_TEL;CANT_RESIDENCIAL_TV;CANT_RESIDENCIAL_INT;CANT_RESIDENCIAL_TOTAL;CANT_EMPRESA_EMPRESAS;CANT_EMPRESA_TELCOS;CANT_EMPRESA_TOTAL;SEVERIDAD;AVISO_SUBTEL;ESTADO;CODI_EMPRESA_SSOT;CODIGO_SERVICIO;NOMBRE_SERVICIO;CODIGO_COMPONENTE;KEY_COMPONENTE;NOMBRE_COMPONENTE;ID_FINAL;
9496-RAHU-IPOBRIDGE;7;OS;OSORNO;76;OSRN;OSORNO;59;RAHU;RAHUE;10079329;9496-RAHU-IPOBRIDGE;;9496-RAHU-IPOBRIDGE;10450000;IPO-BRIDGE;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"40°34'42.96""";"73°06'56.88""";REGI�N DE LOS LAGOS;PROVINCIA DE OSORNO;OSORNO;9496-RAHU-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76703;
9494-PLCO-IPOBRIDGE;7;OS;OSORNO;76;OSRN;OSORNO;3143;PLCO;PILAUCO;10079330;9494-PLCO-IPOBRIDGE;;9494-PLCO-IPOBRIDGE;10450000;IPO-BRIDGE;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"00°00'00.00""";"00°00'00.00""";REGI�N DE LOS LAGOS;PROVINCIA DE OSORNO;OSORNO;9494-PLCO-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76704;
9606-AMRL-IPOBRIDGE;10;CY;COYHAIQUE;277;AMRL;AMARILLO;2555;AMRL;AMARILLO;10079331;9606-AMRL-IPOBRIDGE;;9606-AMRL-IPOBRIDGE;10450000;IPO-BRIDGE;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"00°00'00.00""";"00°00'00.00""";REGI�N DE LOS LAGOS;PROVINCIA DE PALENA;CHAIT�N;9606-AMRL-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76705;
MDI101688077;8;PM;PUERTO MONTT;102;PMTT;PUERTO MONTT;2387;CHNQ;CHINQUIHUE;10079355;MDI101688077;;MDI101688077;25;ONT;14;ZHONE;437;2426A1;true;2/7/2019 19:28;;"41°30'36.36""";"73°01'03.72""";REGI�N DE LOS LAGOS;PROVINCIA DE LLANQUIHUE;PUERTO MONTT;MDI101688077;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76706;
9103-LANG-IPOBRIDGE;4;LA;LOS ANGELES;52;LANG;LOS ANGELES;2821;LANG;CENTRAL TELSUR;10079378;9103-LANG-IPOBRIDGE;;9103-LANG-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"37°28'44.04""";"72°21'02.16""";REGI�N DEL BIOB�O;PROVINCIA DE BIOB�O;LOS �NGELES;9103-LANG-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76707;
9614-CHON-IPOBRIDGE;9;CE;CHILOE;43;CHON;CHONCHI;2617;CHON;CHONCHI;10079385;9614-CHON-IPOBRIDGE;;9614-CHON-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"42°37'17.76""";"73°46'22.44""";REGI�N DE LOS LAGOS;PROVINCIA DE CHILO�;CHONCHI;9614-CHON-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76708;
9999-LABO-IPOBRIDGE;6;VA;VALDIVIA;127;VLDV;VALDIVIA;2866;LAB1;LABORATORIO VLD2;10079386;9999-LABO-IPOBRIDGE;;9999-LABO-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"39°49'29.77""";"73°13'50.34""";REGI�N DE LOS R�OS;PROVINCIA DE VALDIVIA;VALDIVIA;9999-LABO-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76709;
9289-CCJN-IPOBRIDGE;5;TE;TEMUCO;108;TE;TEMUCO;1978;CCJN;CAMINO CAJON;10079387;9289-CCJN-IPOBRIDGE;;9289-CCJN-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"38°42'38.52""";"72°33'06.84""";REGI�N DE LA ARAUCAN�A;PROVINCIA DE CAUT�N;TEMUCO;9289-CCJN-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76710;
2540-VLVC-IPOBRIDGE;8;PM;PUERTO MONTT;102;PMTT;PUERTO MONTT;2377;VLVC;VALLE VOLCANES;10537661;2540-VLVC-IPOBRIDGE;;2540-VLVC-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"41°27'27.00""";"72°54'27.00""";REGI�N DE LOS LAGOS;PROVINCIA DE LLANQUIHUE;PUERTO MONTT;2540-VLVC-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76711;
9730-PAYS-IPOBRIDGE;10;CY;COYHAIQUE;64;PAYS;PTO. AYSEN;53;PAYS;PTO. AYSEN;10537662;9730-PAYS-IPOBRIDGE;;9730-PAYS-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"45°24'38.16""";"72°41'49.92""";REGI�N DE AIS�N DEL GENERAL CARLOS IB��EZ DEL CAMPO;PROVINCIA DE AIS�N;AIS�N;9730-PAYS-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76712;
9603-CHTN-IPOBRIDGE;10;CY;COYHAIQUE;87;CHTN;CHAITEN;2558;CHTN;CHAITEN;10537663;9603-CHTN-IPOBRIDGE;;9603-CHTN-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"42°54'59.04""";"72°42'23.04""";REGI�N DE LOS LAGOS;PROVINCIA DE PALENA;CHAIT�N;9603-CHTN-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76713;
